Generator Name,Power Project Type,Capacity (MW),DC Capacity (MW),Owner,Power Project Status,Contract Price ($/MWh),Contract Type,Contract Price Type,Contract Offtaker Type,Hybrid Status,State,ISO,Latitude (Degrees),Longitude (Degrees),First Power Date,Year,hail_lat,hail_lon,hail_dist
AZ State University - Tempe Campus Solar: ISTB7,Solar,0.1,0.1,Arizona State University FDM,Operating,38.9,,Assumed,,N,AZ,Non-ISO,33.424279,-111.9282,02/01/2025,2025,33.5,-112.0,0.10434993934353609
Walker Springs I: OEALG,Solar,80.0,104.0,Origis Energy,In Construction,59.08,,Assumed,,N,AL,Non-ISO,31.435022,-87.70473,08/01/2026,2026,31.7,-87.7,0.2650202131611843
"Lowe's - 1193 - East Peoria, IL: 7496",Solar,1.0,1.3,"Riverside Drive Solar Project 2022, LLC",Operating,76.22,,Assumed,,N,IL,MISO,40.681036,-89.58474,08/01/2025,2025,40.7,-89.5,0.08683605757978395
Palmdale Water District HQ: 7169,Solar,1.7,2.2,"East Avenue Q Solar Project 2022, LLC",In Construction,57.18,,Assumed,,N,CA,CAISO,34.587916,-118.0931,03/01/2026,2026,34.4,-118.3,0.27949961190670103
Swift Air Solar II: OSAS2,Solar,100.0,130.0,Origis Energy,In Construction,59.53,,Assumed,,N,TX,ERCOT,31.723088,-102.5196,03/01/2026,2026,31.7,-102.1,0.42023471506290655
Bishop Ranch - BR 15-AA: 4654R,Solar,0.2,0.3,Alcosta Boulevard BR 15-AA Solar Project 2020 LLC,Operating,65.55,,Assumed,,Y,CA,CAISO,37.77538,-121.9613,04/01/2025,2025,38.0,-121.9,0.23283434969952205
East Windsor: EWNDR,Solar,4.0,5.2,NJR Clean Energy Ventures,Operating,82.71,,Assumed,,N,CT,ISO-NE,41.85,-72.55,09/01/2025,2025,41.6,-72.4,0.2915475947422606
McFarland Schools Customer Hosted: PV1,Solar,1.4,1.8,Wisconsin Power & Light Co,In Construction,51.73,,Assumed,,N,WI,MISO,43.02369,-89.26745,12/01/2025,2025,43.4,-89.5,0.4423671762235519
Vienna Walbec Customer Hosted: PV1,Solar,1.4,1.8,Wisconsin Power & Light Co,In Construction,51.55,,Assumed,,N,WI,MISO,43.208435,-89.41019,05/01/2026,2026,43.4,-89.5,0.21157264786592542
Wheatland: OEIN1,Solar,150.0,195.0,Origis Energy,In Construction,51.61,PPA,Assumed,,N,IN,MISO,38.692248,-87.28772,09/01/2026,2026,38.9,-87.7,0.46166621265153
Mingoville PV I: PV1,Solar,3.0,3.9,ENGIE North America,In Construction,71.26,,Assumed,,N,PA,PJM,40.902,-77.685,05/01/2026,2026,40.7,-77.8,0.2324413904621939
Central San: CESAN,Solar,1.8,2.3,REC Solar,Operating,65.88,,Assumed,,N,CA,CAISO,38.005734,-122.0749,01/01/2025,2025,38.0,-121.9,0.17499396777031434
MN CSG 2019-77: DEVNY,Solar,1.0,1.3,MN CSG 2019-77 LLC,Operating,53.23,,Assumed,,N,MN,MISO,44.4735,-93.2187,05/01/2025,2025,44.3,-93.1,0.2102187907871283
Swift Air Solar III: OSAS3,Solar,100.0,130.0,Origis Energy,In Construction,59.53,,Assumed,,N,TX,ERCOT,31.723088,-102.5196,03/01/2026,2026,31.7,-102.1,0.42023471506290655
Community Solar Utica 1: UTICA,Solar,3.0,3.9,Aggreko,Operating,58.03,,Assumed,,N,CA,CAISO,35.93422,-119.8619,03/01/2025,2025,36.2,-120.1,0.35683416092072
IL University Park 450 Central Ave: 20424,Solar,2.3,3.0,Catalyze,In Construction,84.28,,Assumed,,N,IL,PJM,41.453676,-87.75003,05/01/2026,2026,41.6,-87.7,0.15464059582140524
"Lowe's - 1440 - Rockford, IL RDC (POI 1): 7481",Solar,2.3,3.0,"South Springfield Avenue Solar Project 2022, LLC",In Construction,79.09,,Assumed,,N,IL,MISO,42.239075,-89.13187,12/01/2025,2025,42.5,-89.5,0.4512222872653737
Rockhound C: OERHC,Solar,61.0,79.3,Origis Energy,In Construction,59.48,,Assumed,,N,TX,ERCOT,31.723088,-102.5196,06/01/2026,2026,31.7,-102.1,0.42023471506290655
Palmdale Water District 6MG Tank: 7170G,Solar,1.0,1.3,"East Avenue Q Solar Project 2022, LLC",In Construction,56.91,,Assumed,,Y,CA,CAISO,34.558047,-118.1187,01/01/2026,2026,34.4,-118.3,0.24051724305961636
Town of Sharon Portfolio -Mt St Landfill: 3850G,Solar,5.0,6.5,"Mountain Street Solar Project 2019, LLC",In Construction,88.27,,Assumed,,Y,MA,ISO-NE,42.102685,-71.15906,02/01/2026,2026,42.5,-71.5,0.5235449291369381
Las Virgenes MWD - Composting Plant: 7236G,Solar,0.9,1.2,"Las Virgenes Road Solar Project 2022, LLC",In Construction,57.75,,Assumed,,Y,CA,CAISO,34.126481,-118.6981,12/01/2025,2025,34.4,-118.3,0.4830075085969158
Mingoville PV II: PV1,Solar,2.0,2.6,ENGIE North America,In Construction,71.26,,Assumed,,N,PA,PJM,40.902,-77.685,05/01/2026,2026,40.7,-77.8,0.2324413904621939
Sun Pond: GEN01,Solar,85.0,110.5,Longroad Energy,In Construction,39.26,,Assumed,Utility,Y,AZ,Non-ISO,33.381198,-112.8216,02/01/2026,2026,33.5,-112.9,0.14233929606402043
MN CSG 2019-79: BONNI,Solar,1.0,1.3,New Energy Equity,Operating,53.11,,Assumed,,N,MN,MISO,44.7825,-95.4795,05/01/2025,2025,45.2,-95.8,0.5263330694531748
Agrimony 1: 703,Solar,2.0,2.6,Greenbacker Renewable Energy,Operating,79.86,,Assumed,,N,IL,MISO,42.482401,-89.98954,01/01/2025,2025,42.5,-90.4,0.4108371166301802
Rockhound D: OERHD,Solar,28.0,36.4,Origis Energy,In Construction,59.48,,Assumed,,N,TX,ERCOT,31.6859,-102.518,06/01/2026,2026,31.7,-102.1,0.4182377433948367
"Lowe's - 1440 - Rockford, IL RDC (POI 2): 7824",Solar,2.3,3.0,"South Springfield Avenue II Solar Project 2022, LLC",In Construction,79.09,,Assumed,,N,IL,MISO,42.239075,-89.13187,12/01/2025,2025,42.5,-89.5,0.4512222872653737
Walker Springs II: OEALH,Solar,80.0,104.0,Origis Energy,In Construction,59.03,,Assumed,,N,AL,Non-ISO,31.435022,-87.70473,03/01/2026,2026,31.7,-87.7,0.2650202131611843
SouthernCompany:24S-IC-1199:PV,Solar,3.5,4.6,,In Construction,59.31,,Assumed,,Y,GA,Non-ISO,30.953432,-83.21947,10/01/2026,2026,30.8,-83.2,0.15466240501168838
Hill Solar II: HS2,Solar,200.0,260.0,TotalEnergies,In Construction,58.82,,Assumed,,N,TX,ERCOT,32.115203,-97.06783,12/01/2025,2025,31.7,-96.7,0.5547003155840097
Aratina Solar Center 1A: 64NB8,Solar,120.0,156.0,Avantus,In Construction,57.82,,Assumed,,Y,CA,CAISO,34.986825,-117.680784,06/01/2026,2026,35.3,-117.4,0.42061649430448467
