lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
32.6,-118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,-114.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204544,0.153408,0.102272,0.051136,0.0
33.5,-115.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.0
33.5,-116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.0
33.5,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.0
33.5,-118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
33.5,-119.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
33.5,-120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,-115.6,0.06,0.04,0.01,0.0,0.49538,0.348364,0.091885,0.019176,0.51136,0.357952,0.204544,0.102272,4.00248
34.4,-116.5,0.05,0.03,0.01,0.0,0.365942,0.246092,0.051136,0.0,0.357952,0.25568,0.153408,0.102272,2.82744
34.4,-117.4,0.02,0.01,0.0,0.0,0.148614,0.097478,0.0,0.0,0.204544,0.153408,0.102272,0.051136,1.11996
34.4,-118.3,0.01,0.01,0.0,0.0,0.107865,0.06392,0.0,0.0,0.204544,0.153408,0.051136,0.051136,0.7344
34.4,-119.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.0
34.4,-120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.051136,0.0,0.0
35.3,-116.5,0.05,0.03,0.01,0.0,0.377927,0.254082,0.055131,0.0,0.409088,0.306816,0.153408,0.102272,2.91924
35.3,-117.4,0.02,0.01,0.0,0.0,0.133433,0.085493,0.0,0.0,0.204544,0.153408,0.102272,0.051136,0.98226
35.3,-118.3,0.02,0.01,0.0,0.0,0.158202,0.105468,0.0,0.0,0.25568,0.153408,0.102272,0.051136,1.21176
35.3,-119.2,0.02,0.02,0.0,0.0,0.178177,0.121448,0.0,0.0,0.25568,0.204544,0.102272,0.051136,1.39536
35.3,-120.1,0.01,0.01,0.0,0.0,0.094282,0.052734,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.60588
35.3,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
36.2,-117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
36.2,-118.3,0.01,0.01,0.0,0.0,0.107066,0.063121,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.72522
36.2,-119.2,0.03,0.02,0.0,0.0,0.218926,0.150212,0.008789,0.0,0.357952,0.25568,0.102272,0.051136,1.72584
36.2,-120.1,0.03,0.02,0.0,0.0,0.217328,0.149413,0.008789,0.0,0.357952,0.25568,0.102272,0.051136,1.71666
36.2,-121.0,0.01,0.01,0.0,0.0,0.10387,0.060724,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.69768
36.2,-121.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.0,0.0,0.0,0.0
37.1,-119.2,0.03,0.02,0.0,0.0,0.246092,0.16779,0.016779,0.0,0.357952,0.25568,0.102272,0.051136,1.9278
37.1,-120.1,0.04,0.02,0.0,0.0,0.284444,0.192559,0.027965,0.0,0.409088,0.306816,0.153408,0.102272,2.21238
37.1,-121.0,0.02,0.02,0.0,0.0,0.190961,0.131835,0.000799,0.0,0.204544,0.153408,0.051136,0.051136,1.5147
37.1,-121.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
37.1,-122.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,-119.2,0.05,0.03,0.01,0.0,0.363545,0.244494,0.050337,0.0,0.357952,0.25568,0.153408,0.102272,2.80908
38.0,-120.1,0.04,0.03,0.0,0.0,0.322796,0.217328,0.039151,0.0,0.460224,0.306816,0.153408,0.102272,2.49696
38.0,-121.0,0.03,0.02,0.0,0.0,0.206941,0.142222,0.005593,0.0,0.306816,0.204544,0.102272,0.051136,1.63404
38.0,-121.9,0.01,0.0,0.0,0.0,0.03995,0.019975,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.2295
38.0,-122.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
38.9,-120.1,0.03,0.02,0.0,0.0,0.205343,0.140624,0.004794,0.0,0.25568,0.153408,0.102272,0.051136,1.61568
38.9,-121.0,0.02,0.01,0.0,0.0,0.155006,0.103071,0.0,0.0,0.204544,0.153408,0.102272,0.051136,1.18422
38.9,-121.9,0.02,0.01,0.0,0.0,0.136629,0.08789,0.0,0.0,0.204544,0.153408,0.051136,0.051136,1.0098
38.9,-122.8,0.01,0.0,0.0,0.0,0.042347,0.021573,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.24786
38.9,-123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
39.8,-121.0,0.02,0.01,0.0,0.0,0.158202,0.105468,0.0,0.0,0.204544,0.153408,0.051136,0.051136,1.21176
39.8,-121.9,0.03,0.02,0.0,0.0,0.232509,0.159001,0.012784,0.0,0.357952,0.25568,0.102272,0.051136,1.82682
39.8,-122.8,0.03,0.02,0.0,0.0,0.21573,0.147815,0.00799,0.0,0.306816,0.204544,0.102272,0.051136,1.6983
39.8,-123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.0
39.8,-124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.0,0.0,0.0
40.7,-120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.102272,0.051136,0.051136,0.0
40.7,-121.0,0.01,0.01,0.0,0.0,0.102272,0.059925,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.6885
40.7,-121.9,0.03,0.02,0.0,0.0,0.27166,0.184569,0.02397,0.0,0.306816,0.204544,0.102272,0.051136,2.12058
